feature,coefficient
Low Price,41.598993483398836
High Price,22.180635258427106
Variety_BIG MACK TYPE,-0.0005008991923872067
Variety_BLUE TYPE,-0.00012480579217749723
Variety_CINDERELLA,0.00018979574206953888
Variety_FAIRYTALE,3.643927674099065e-06
Variety_HOWDEN TYPE,-0.00026912962403175786
Variety_HOWDEN WHITE TYPE,-0.0006613214242522474
Variety_KNUCKLE HEAD,-0.0007015306166784309
Variety_MINIATURE,7.30135729363414e-05
Variety_MIXED HEIRLOOM VARIETIES,7.944762765786776e-05
Variety_PIE TYPE,-0.00018880488830452699
Variety_nan,0.0021005906674591438
Color_ORANGE,0.00010478902019904146
Color_STRIPED,-0.00019972560336457016
Color_WHITE,0.00022411479312234043
Color_nan,-0.0001291782099964503
Package_1 1/9 bushel cartons,0.00026534474504662014
Package_1 1/9 bushel crates,0.00013557427776665805
Package_1/2 bushel cartons,-0.000198030852860497
Package_20 lb cartons,-0.000467554502438898
Package_22 lb cartons,-0.00042143303181548734
Package_24 inch bins,0.00020469174921429814
Package_35 lb cartons,0.0002877912581952417
Package_36 inch bins,0.0002716495869731655
Package_40 lb cartons,-0.00023085015136689477
Package_50 lb cartons,0.0005465008594957414
Package_50 lb sacks,-9.849251236559986e-05
Package_bins,0.00031964160246573817
Package_bushel baskets,-0.0013456651500332406
Package_bushel cartons,-0.00016035310339083662
Package_each,0.0008911852250326612
Item Size_exjbo,-0.0004647900832466699
Item Size_jbo,5.31074088987012e-05
Item Size_lge,1.0648310521256596e-05
Item Size_med,9.357148801755058e-05
Item Size_med-lge,8.640799876974364e-05
Item Size_sml,6.881868219444287e-05
Item Size_xlge,2.5663892674504545e-05
Item Size_nan,0.00012657230212779948
